site_id,building_id,primary_use,square_feet,year_built,floor_count
2,208,Healthcare,36904,1934,
2,209,Education,193294,2006,
2,210,Education,71248,2004,
2,211,Education,48411,,
2,212,Education,327256,2012,
2,213,Education,49662,1964,
2,214,Education,91273,1951,
2,215,Lodging/residential,36406,1940,
2,216,Education,137065,1964,
2,217,Education,282946,2003,
2,218,Public services,16411,,
2,219,Education,96124,1959,
2,220,Education,122592,1971,
2,221,Education,204349,1993,
2,222,Entertainment/public assembly,11935,1939,
2,223,Education,261188,,
2,224,Education,272278,1955,
2,225,Lodging/residential,216526,1967,
2,226,Office,74180,1930,
2,227,Entertainment/public assembly,17132,1918,
2,228,Lodging/residential,49108,1951,
2,229,Education,140092,,
2,230,Education,10334,,
2,231,Education,33739,1939,
2,232,Entertainment/public assembly,24345,1981,
2,233,Education,25139,1970,
2,234,Education,179167,1971,
2,235,Education,9309,1970,
2,236,Entertainment/public assembly,144086,1989,
2,237,Public services,101262,1982,
2,238,Office,45017,,
2,239,Lodging/residential,106440,1963,
2,240,Lodging/residential,111304,1964,
2,241,Entertainment/public assembly,51999,1974,
2,242,Parking,157113,1987,
2,243,Parking,557217,2004,
2,244,Education,95717,,
2,245,Education,88486,,
2,246,Office,202435,1967,
2,247,Education,64560,1965,
2,248,Education,24643,1982,
2,249,Entertainment/public assembly,179449,1976,
2,250,Education,131710,1991,
2,251,Education,12773,,
2,252,Education,4314,1907,
2,253,Education,65907,1964,
2,254,Entertainment/public assembly,254766,1989,
2,255,Education,49078,1914,
2,256,Education,16744,,
2,257,Education,75650,,
2,258,Education,71224,,
2,259,Education,77469,,
2,260,Education,126985,1979,
2,261,Education,89770,,
2,262,Entertainment/public assembly,20804,1999,
2,263,Education,87673,1960,
2,264,Office,83660,1973,
2,265,Office,118966,1988,
2,266,Education,30543,,
2,267,Entertainment/public assembly,72193,2013,
2,268,Entertainment/public assembly,77844,,
2,269,Entertainment/public assembly,809530,1958,
2,270,Office,29778,,
2,271,Education,71421,,
2,272,Education,4583,,
2,273,Office,140345,,
2,274,Office,42214,1985,
2,275,Office,70832,2014,
2,276,Office,70837,2014,
2,277,Education,12761,1909,
2,278,Office,148101,,
2,279,Education,49384,1967,
2,280,Entertainment/public assembly,105505,2008,
2,281,Food sales and service,28862,,
2,282,Office,28750,,
2,283,Entertainment/public assembly,51920,,
2,284,Entertainment/public assembly,230259,1975,
2,285,Utility,21958,,
2,286,Lodging/residential,32841,1935,
2,287,Office,33713,1956,
2,288,Entertainment/public assembly,10733,2005,
2,289,Entertainment/public assembly,9666,2005,
2,290,Office,51732,1966,
3,291,Public services,90635,2011,
3,292,Public services,33743,,
3,293,Office,408000,2010,
3,294,Entertainment/public assembly,14913,,
3,295,Education,83400,1942,
3,296,Public services,22000,,
3,297,Education,66200,1950,
3,298,Entertainment/public assembly,39541,,
3,299,Education,356000,2014,
3,300,Education,62800,2014,
3,301,Public services,51176,,
3,302,Education,57100,2015,
3,303,Entertainment/public assembly,15950,,
3,304,Entertainment/public assembly,194300,1900,
3,305,Office,8637,,
3,306,Education,51500,1931,
3,307,Public services,10873,,
3,308,Public services,5033,,
3,309,Entertainment/public assembly,2067,,
3,310,Public services,22000,,
3,311,Education,50000,1928,
3,312,Entertainment/public assembly,6625,,
3,313,Education,103800,,
3,314,Education,225000,,
3,315,Entertainment/public assembly,20644,,
3,316,Public services,78550,,
3,317,Office,16098,,
3,318,Office,105000,,
3,319,Public services,13100,1929,
3,320,Education,105500,,
3,321,Public services,15913,,
3,322,Education,37083,1908,
3,323,Education,282200,1928,
3,324,Entertainment/public assembly,11910,,
3,325,Education,59200,1959,
3,326,Entertainment/public assembly,45548,,
3,327,Education,99325,1927,
3,328,Education,47200,1935,
3,329,Entertainment/public assembly,3133,,
3,330,Education,65000,,
3,331,Education,288800,1923,
3,332,Education,90400,,
3,333,Education,59900,1962,
3,334,Education,57100,1960,
3,335,Office,229000,2010,
3,336,Education,43000,1923,
3,337,Entertainment/public assembly,22334,1977,
3,338,Entertainment/public assembly,23803,1969,
3,339,Education,71100,,
3,340,Entertainment/public assembly,1843,,
3,341,Education,158000,1959,
3,342,Lodging/residential,15420,,
3,343,Public services,22000,,
3,344,Education,77500,1942,
3,345,Lodging/residential,7250,,
3,346,Entertainment/public assembly,17709,,
3,347,Education,75900,1974,
3,348,Public services,10577,1969,
3,349,Public services,45098,,
3,350,Education,83800,1944,
3,351,Education,58908,1910,
3,352,Education,144900,,
3,353,Education,99700,1955,
3,354,Education,77500,,
3,355,Education,182500,1970,
3,356,Public services,4336,,
3,357,Lodging/residential,2000,,
3,358,Education,77700,,
3,359,Public services,4925,,
3,360,Education,69600,1949,
3,361,Public services,13224,1965,
3,362,Public services,21368,,
3,363,Education,69300,2017,
3,364,Education,83800,,
3,365,Healthcare,819577,1922,
3,366,Public services,9941,1963,
3,367,Entertainment/public assembly,20584,,
3,368,Retail,16500,,
3,369,Public services,6431,,
3,370,Entertainment/public assembly,15960,2005,
3,371,Entertainment/public assembly,5554,,
3,372,Education,49100,1911,
3,373,Education,46484,1932,
3,374,Lodging/residential,350000,1949,
3,375,Office,850354,1989,
3,376,Office,585955,1942,
3,377,Public services,12506,,
3,378,Public services,35241,1978,
3,379,Entertainment/public assembly,7675,,
3,380,Education,95100,1927,
3,381,Entertainment/public assembly,1858,,
3,382,Education,47984,2002,
3,383,Warehouse/storage,27318,,
3,384,Office,13728,,
3,385,Public services,18432,1973,
3,386,Entertainment/public assembly,17262,2003,
3,387,Education,104200,2009,
3,388,Public services,30810,,
3,389,Education,57165,2014,
3,390,Office,34400,,
3,391,Education,87107,,
3,392,Education,53000,1912,
3,393,Education,59400,1900,
3,394,Entertainment/public assembly,3545,2000,
3,395,Public services,8925,1912,
3,396,Public services,16768,1980,
3,397,Public services,54061,2006,
3,398,Education,62200,,
3,399,Education,180000,1939,
3,400,Public services,19315,,
3,401,Entertainment/public assembly,12660,,
3,402,Public services,2818,,
3,403,Education,49500,1962,
3,404,Public services,5783,,
3,405,Education,82200,1916,
3,406,Entertainment/public assembly,2347,,
3,407,Education,325217,2006,
3,408,Entertainment/public assembly,16098,1929,
3,409,Education,38500,2016,
3,410,Education,64113,1924,
3,411,Entertainment/public assembly,6139,,
3,412,Education,110000,,
3,413,Warehouse/storage,14839,2005,
3,414,Entertainment/public assembly,36387,,
3,415,Education,41329,,
3,416,Public services,7079,,
3,417,Education,69600,1978,
3,418,Entertainment/public assembly,86120,1926,
3,419,Education,271300,1940,
3,420,Public services,81397,2004,
3,421,Entertainment/public assembly,11274,,
3,422,Public services,8726,,
3,423,Entertainment/public assembly, 969,,
3,424,Public services,32527,,
3,425,Warehouse/storage,202829,1983,
3,426,Education,101400,1930,
3,427,Public services,14269,,
3,428,Entertainment/public assembly,1396,,
3,429,Public services,11934,1930,
3,430,Public services,23918,,
3,431,Parking,1760,,
3,432,Public services,103200,,
3,433,Entertainment/public assembly,23055,,
3,434,Education,39500,,
3,435,Office,29916,2002,
3,436,Lodging/residential,15574,,
3,437,Entertainment/public assembly,11651,,
3,438,Public services,36562,,
3,439,Office,62205,,
3,440,Public services,35033,1962,
3,441,Public services,3267,,
3,442,Education,70800,1964,
3,443,Education,109000,1940,
3,444,Public services,12945,1960,
3,445,Education,40950,1910,
3,446,Public services,43992,,
3,447,Public services,21472,2011,
3,448,Office,328760,1904,
3,449,Lodging/residential,18340,1900,
3,450,Education,116872,1931,
3,451,Entertainment/public assembly,5013,,
3,452,Education,155100,1931,
3,453,Public services,24875,1984,
3,454,Public services,16576,1932,
3,455,Healthcare,29192,2014,
3,456,Public services,14125,,
3,457,Education,79700,1932,
3,458,Entertainment/public assembly,4589,,
3,459,Entertainment/public assembly,36744,2004,
3,460,Public services,17927,,
3,461,Education,69400,1959,
3,462,Public services,9226,,
3,463,Public services,25000,,
3,464,Public services,9816,,
3,465,Office,6400,,
3,466,Public services,22500,,
3,467,Public services,47439,,
3,468,Office,40000,,
3,469,Public services,13044,1913,
3,470,Public services,24618,,
3,471,Education,170000,1956,
3,472,Education,69400,1911,
3,473,Public services,46007,1950,
3,474,Public services,10151,1966,
3,475,Office,474680,1986,
3,476,Entertainment/public assembly,1102,,
3,477,Public services,21600,,
3,478,Lodging/residential,31283,1935,
3,479,Public services,43955,1978,
3,480,Office,30000,,
3,481,Education,104294,1976,
3,482,Education,394000,2013,
3,483,Education,207000,1935,
3,484,Public services,18000,,
3,485,Public services,22000,2007,
3,486,Education,86375,1903,
3,487,Education,66600,1959,
3,488,Education,69600,1908,
3,489,Education,85039,1925,
3,490,Education,98900,1961,
3,491,Education,66600,1970,
3,492,Education,193800,,
3,493,Education,283000,2014,
3,494,Education,72800,1959,
3,495,Education,47500,1968,
3,496,Public services,16200,,
3,497,Public services,7732,,
3,498,Entertainment/public assembly,14842,,
3,499,Education,376507,2011,
3,500,Education,99975,1968,
3,501,Education,66404,,
3,502,Public services,6010,,
3,503,Other,10762,,
3,504,Warehouse/storage,112536,,
3,505,Warehouse/storage,51622,1975,
3,506,Other,34400,,
3,507,Education,61151,,
3,508,Other,112283,,
3,509,Other,10578,,
3,510,Public services,4581,,
3,511,Public services,12316,,
3,512,Lodging/residential,5000,2010,
3,513,Public services,112283,,
3,514,Public services,12750,,
3,515,Education,63900,1921,
3,516,Public services,9000,,
3,517,Lodging/residential,2210,,
3,518,Public services,555243,1941,
3,519,Public services,461647,1976,
3,520,Office,27600,,
3,521,Public services,12000,,
3,522,Office,8000,,
3,523,Entertainment/public assembly,9726,,
3,524,Public services,134114,,
3,525,Public services,9062,,
3,526,Public services,7636,,
3,527,Public services,9392,,
3,528,Public services,11143,,
3,529,Public services,14519,1908,
3,530,Public services,144000,,
3,531,Public services,68203,,
3,532,Entertainment/public assembly,7133,,
3,533,Lodging/residential,11900,,
3,534,Entertainment/public assembly, 898,,
3,535,Healthcare,15000,2010,
3,536,Entertainment/public assembly,1962,,
3,537,Education,73200,1959,
3,538,Religious worship,10000,2010,
3,539,Entertainment/public assembly,1473,,
3,540,Education,88300,1909,
3,541,Lodging/residential,2582,,
3,542,Education,66900,1969,
3,543,Entertainment/public assembly, 801,,
3,544,Public services,110800,1972,
3,545,Education,21903,1931,
3,546,Public services,400000,1971,
3,547,Healthcare,23903,,
3,548,Healthcare,9813,2010,
3,549,Public services,12754,1968,
3,550,Public services,16000,2014,
3,551,Office,30525,,
3,552,Public services,20110,1936,
3,553,Education,37800,,
3,554,Entertainment/public assembly,26187,,
3,555,Education,22400,,
3,556,Healthcare,450000,2012,
3,557,Public services,19000,,
3,558,Office,89315,,
3,559,Education,48994,2015,
3,560,Office,340000,2010,
3,561,Office,295000,,
3,562,Education,235000,2013,
3,563,Office,31346,,
3,564,Public services,89315,,
4,565,Education,15326,1954,   2
4,566,Education,2010,1957,   1
4,567,Entertainment/public assembly,82670,2016,   4
4,568,Education,14150,1974,   2
4,569,Education,86091,1964,   8
4,570,Education,193202,1964,  10
4,571,Education,47954,1980,   3
4,572,Education,94175,1964,   9
4,573,Education,23815,1914,   4
4,574,Education,56343,1905,   4
4,575,Technology/science,33167,1963,   4
4,576,Education,86465,2014,   7
4,577,Education,113589,1958,   3
4,578,Lodging/residential,71994,2004,   4
4,579,Education,7781,1910,   4
4,580,Education,104016,1960,   4
4,581,Lodging/residential,23012,1930,   3
4,582,Education,14542,1920,   4
4,583,Education,206054,1950,   9
4,584,Education,137806,1967,   8
4,585,Public services,132394,1949,   7
4,586,Public services,166514,1917,   5
4,587,Technology/science,53234,1942,   5
4,588,Education,21866,1911,   4
4,589,Education,305268,1952,   8
4,590,Education,8516,1920,   2
4,591,Entertainment/public assembly,59326,1932,   1
4,592,Education,120694,2012,   7
4,593,Education,66203,2015,   6
4,594,Education,177281,1964,   7
4,595,Education,270413,1971,  14
4,596,Education,18474,1923,   4
4,597,Public services,189425,1994,   4
4,598,Public services,68701,1930,   4
4,599,Education,25996,1954,   4
4,600,Education,44182,1917,   5
4,601,Entertainment/public assembly,11910,1903,   2
4,602,Entertainment/public assembly,238065,1933,   6
4,603,Public services,29063,2004,   3
4,604,Education,8463,,   3
4,605,Education,51020,1924,   5
4,606,Utility,23432,1999,   2
4,607,Education,34825,1999,   2
4,608,Entertainment/public assembly,124197,1927,   3
4,609,Education,141461,1907,   6
4,610,Entertainment/public assembly,30160,1958,   4
4,611,Education,128126,1966,   7
4,612,Education,77055,1917,   4
4,613,Entertainment/public assembly,1305,1995,   1
4,614,Lodging/residential,185200,1930,   8
4,615,Education,153700,1990,   7
4,616,Education,117814,1959,   6
4,617,Education,182943,1963,  11
4,618,Education,148032,1924,   5
4,619,Education,68146,1948,   6
4,620,Education,220703,2011,   9
4,621,Parking, 387,1955,   1
4,622,Education,123612,1961,   7
4,623,Education,49388,1931,   6
4,624,Education,46204,1941,   5
4,625,Education,55516,1978,   5
4,626,Public services,130581,1970,   5
4,627,Education,56637,1953,   5
4,628,Education,40706,1958,   3
4,629,Education,40835,1931,   6
4,630,Education,93420,1948,   5
4,631,Education,23533,1906,   3
4,632,Education,41297,1959,   6
4,633,Parking,98539,1989,   2
4,634,Education,4000,1910,   4
4,635,Education,7122,1909,   3
4,636,Education,6564,1909,   3
4,637,Education,4189,1929,   3
4,638,Education,7900,1923,   4
4,639,Education,14524,1964,   2
4,640,Entertainment/public assembly,36180,1966,   9
4,641,Education,109588,1994,   8
4,642,Education,30401,,   4
4,643,Education,110919,1941,   6
4,644,Entertainment/public assembly,261091,1923,   3
4,645,Education,304333,2006,  12
4,646,Education,58733,1923,   6
4,647,Lodging/residential,86959,1942,   5
4,648,Education,154706,2009,  11
4,649,Education,116121,1996,  10
4,650,Education,75228,1993,   4
4,651,Parking,306140,2007,   5
4,652,Education,150887,1959,   9
4,653,Education,420885,1930,   8
4,654,Education,43910,1912,   5
4,655,Education,222434,1964,  11
5,656,Other,5769,1976,   1
5,657,Education,109071,1966,   3
5,658,Entertainment/public assembly,31075,1976,   2
5,659,Entertainment/public assembly,15306,1976,   2
5,660,Entertainment/public assembly,5447,1976,   1
5,661,Entertainment/public assembly,7427,1976,   2
5,662,Entertainment/public assembly,12777,1976,   2
5,663,Entertainment/public assembly,57189,1976,   2
5,664,Entertainment/public assembly,49492,1976,   2
5,665,Entertainment/public assembly,8773,1966,   1
5,666,Entertainment/public assembly,12045,1976,   1
5,667,Entertainment/public assembly,15715,1966,   2
5,668,Entertainment/public assembly,47275,1976,   2
5,669,Entertainment/public assembly,4768,1976,   1
5,670,Healthcare,18471,1966,   1
5,671,Lodging/residential,7589,1976,   3
5,672,Manufacturing/industrial,6329,1919,   2
5,673,Entertainment/public assembly,36307,1976,   2
5,674,Entertainment/public assembly,149704,1976,   8
5,675,Manufacturing/industrial,3853,1976,   1
5,676,Manufacturing/industrial,90697,1976,   2
5,677,Public services,7072,1919,   2
5,678,Public services,60977,1976,   6
5,679,Public services,43400,1976,   3
5,680,Public services,9849,1976,   2
5,681,Public services,41861,1919,   3
5,682,Entertainment/public assembly,64153,,   5
5,683,Office,4650,1976,   2
5,684,Office,152471,1919,   3
5,685,Office,270034,1976,   5
5,686,Office,12206,1976,   2
5,687,Office,36221,1976,   4
5,688,Office,52302,1966,   2
5,689,Office,11442,1976,   1
5,690,Office,19429,1945,   2
5,691,Office,42647,1976,   1
5,692,Office,7416,1976,   2
5,693,Office,57436,1976,   3
5,694,Education,30613,1976,   4
5,695,Education,121062,1976,   3
5,696,Education,19041,1976,   2
5,697,Education,18697,1919,   2
5,698,Education,13939,1976,   1
5,699,Education,93764,1945,   3
5,700,Education,11464,1976,   1
5,701,Education,128682,1966,   4
5,702,Education,24251,1966,   2
5,703,Education,34563,1966,   1
5,704,Education,17050,1966,   1
5,705,Education,23605,1976,   1
5,706,Education,27685,1919,   2
5,707,Education,11270,1976,   1
5,708,Education,102429,1945,   4
5,709,Education,23067,1976,   2
5,710,Education,12088,1919,   4
5,711,Education,15414,1976,   1
5,712,Education,22949,1976,   1
5,713,Education,14973,1976,   2
5,714,Education,8730,1976,   1
5,715,Education,23153,1976,   2
5,716,Education,37265,1919,   3
5,717,Education,28826,1976,   2
5,718,Education,25866,1919,   2
5,719,Education,28363,1919,   2
5,720,Education,18202,1919,   2
5,721,Education,121471,1966,   3
5,722,Education,31635,1966,   3
5,723,Education,160038,1966,   4
5,724,Education,88856,1976,   2
5,725,Education,13789,1919,   1
5,726,Education,120566,1945,   2
5,727,Education,139113,1976,   3
5,728,Education,30300,1966,   2
5,729,Education,17190,1919,   2
5,730,Education,126045,1966,   4
5,731,Education,29149,1919,   2
5,732,Education,66187,1976,   1
5,733,Education,96929,1966,   3
5,734,Education,28191,1919,   1
5,735,Education,155807,2013,   2
5,736,Education,94658,1976,   3
5,737,Education,14790,1976,   1
5,738,Education,95433,1966,   4
5,739,Education,137046,1966,   2
5,740,Education,37975,1976,   1
5,741,Education,14025,1966,   1
5,742,Entertainment/public assembly,31829,1976,   2
5,743,Entertainment/public assembly,12185,1976,   2
5,744,Entertainment/public assembly,48642,1919,   5
6,745,Education,13512,,
6,746,Office,17879,,
6,747,Education,30531,,
6,748,Office,32766,,
6,749,Lodging/residential,35936,,
6,750,Education,35990,,
6,751,Office,37485,,
6,752,Public services,38671,,
6,753,Education,39558,,
6,754,Office,41337,,
6,755,Office,42129,,
6,756,Lodging/residential,44352,,
6,757,Education,46813,,
6,758,Lodging/residential,47007,,
6,759,Lodging/residential,48519,,
6,760,Office,49990,,
6,761,Entertainment/public assembly,52534,,
6,762,Education,53651,,
6,763,Office,54597,,
6,764,Education,58307,,
6,765,Entertainment/public assembly,58562,,
6,766,Office,64818,,
6,767,Office,70042,,
6,768,Education,75929,,
6,769,Education,77263,,
6,770,Education,80325,,
6,771,Lodging/residential,82911,,
6,772,Lodging/residential,87661,,
6,773,Lodging/residential,93313,,
6,774,Lodging/residential,93500,,
6,775,Office,104355,,
6,776,Office,104667,,
6,777,Lodging/residential,105791,,
6,778,Entertainment/public assembly,108339,,
6,779,Lodging/residential,113000,,
6,780,Education,120836,,
6,781,Lodging/residential,128044,,
6,782,Education,129344,,
6,783,Entertainment/public assembly,143110,,
6,784,Education,190817,,
6,785,Education,250000,,
6,786,Education,257000,,
6,787,Lodging/residential,278795,,
6,788,Public services,401753,,
7,789,Education,64583,1923,   1
7,790,Education,86111,1911,   8
7,791,Education,150695,,   5
7,792,Education,333681,1938,   3
7,793,Education,150695,1964,   6
7,794,Education,731945,1969,  11
7,795,Education,387500,1960,   6
7,796,Education,226042,1965,   2
7,797,Education,764237,1979,  13
7,798,Education,409028,1970,  21
7,799,Education,527431,1976,  26
7,800,Education,64583,1955,   2
7,801,Education,484376,1952,   5
7,802,Education,290625,1995,  19
7,803,Education,182986,1962,   3
8,804,Office,175618,,   1
8,805,Entertainment/public assembly,3200,,   1
8,806,Other,28693,,   2
8,807,Entertainment/public assembly,3000,,   1
8,808,Other,9357,,   1
8,809,Entertainment/public assembly, 520,,   1
8,810,Entertainment/public assembly,3729,,   1
8,811,Public services,4848,,   1
8,812,Entertainment/public assembly,9894,,   1
8,813,Public services,5630,,   1
8,814,Public services,4371,,   1
8,815,Entertainment/public assembly, 666,,   1
8,816,Entertainment/public assembly, 356,,   1
8,817,Entertainment/public assembly, 984,,   1
8,818,Public services,3648,,   1
8,819,Public services,6351,,   1
8,820,Entertainment/public assembly, 648,,   1
8,821,Other,2555,,   1
8,822,Entertainment/public assembly, 366,,   1
8,823,Public services,35253,,   1
8,824,Public services,7820,,   1
8,825,Public services,3592,,   1
8,826,Public services,19446,,   1
8,827,Office,5839,,   1
8,828,Other,102994,,   1
8,829,Warehouse/storage,15879,,   1
8,830,Warehouse/storage,15120,,   1
8,831,Entertainment/public assembly,4065,,   1
8,832,Public services,26507,,   1
8,833,Public services,6392,,   1
8,834,Public services,4934,,   1
8,835,Entertainment/public assembly,17220,,   1
8,836,Public services,8168,,   1
8,837,Public services,33246,,   1
8,838,Public services,18414,,   1
8,839,Office,14150,,   1
8,840,Other,41861,,   1
8,841,Office,5680,,   1
8,842,Public services,7292,,   1
8,843,Entertainment/public assembly,5380,,   1
8,844,Entertainment/public assembly,6944,,   1
8,845,Entertainment/public assembly, 860,,   1
8,846,Entertainment/public assembly, 481,,   1
8,847,Entertainment/public assembly,9303,,   1
8,848,Office,8552,,   1
8,849,Public services,6448,,   1
8,850,Public services,28590,,   1
8,851,Public services,16682,,   1
8,852,Public services,10800,,   1
8,853,Entertainment/public assembly,26495,,   1
8,854,Entertainment/public assembly,92288,,   1
8,855,Office,48300,,   1
8,856,Entertainment/public assembly,2956,,   1
8,857,Entertainment/public assembly,4000,,   1
8,858,Other,1566,,   1
8,859,Public services,4000,,   1
8,860,Other,12259,,   1
8,861,Other,4276,,   1
8,862,Other,27640,,   1
8,863,Public services,19823,,   1
8,864,Public services,16584,,   1
8,865,Public services,10174,,   1
8,866,Public services,10174,,   1
8,867,Public services,65913,,   1
8,868,Public services,60000,,   1
8,869,Entertainment/public assembly,875000,,   1
8,870,Entertainment/public assembly, 755,,   1
8,871,Entertainment/public assembly,1536,,   1
8,872,Public services,3627,,   1
8,873,Office,40142,,   1
9,874,Office,181805,,
